"Dataset","Rel. Fitness Threshold","AUC","p.value"
"Total",0,0.529589371980676,0.333699582047898
"Total",0.1,0.658163265306122,0.0370181178954985
"Total",0.2,0.658163265306122,0.0370181178954985
"Total",0.3,0.643617021276596,0.0533678761544689
"Total",0.4,0.619318181818182,0.092203689292212
"Total",0.5,0.591463414634146,0.157341723532221
"Total",0.6,0.616370808678501,0.10798751581474
"Total",0.7,0.572527472527472,0.22518527941524
"Total",0.8,0.534545454545455,0.378388893366701
"Total",0.9,0.55952380952381,0.354157866500567
"Internal",0,0.582417582417582,0.18059858333417
"Internal",0.1,0.740740740740741,0.0169910036716594
"Internal",0.2,0.740740740740741,0.0169910036716594
"Internal",0.3,0.72,0.0277955747834592
"Internal",0.4,0.695652173913043,0.0466679388135042
"Internal",0.5,0.65,0.105538602420695
"Internal",0.6,0.717105263157895,0.0419845483787059
"Internal",0.7,0.683823529411765,0.0763974916845088
"Internal",0.8,0.511363636363636,0.483475842162096
"Internal",0.9,0.660714285714286,0.221703455661078
"Surface",0,0.457912457912458,0.658360736132584
"Surface",0.1,0.536363636363636,0.413429035804922
"Surface",0.2,0.536363636363636,0.413429035804922
"Surface",0.3,0.536363636363636,0.413429035804922
"Surface",0.4,0.514285714285714,0.474027620264863
"Surface",0.5,0.514285714285714,0.474027620264863
"Surface",0.6,0.49,0.540646297285856
"Surface",0.7,0.433333333333333,0.686318476443432
"Surface",0.8,0.571428571428571,0.375950097240848
"Surface",0.9,0.428571428571429,0.671066878401285
