"Dataset","Rel. Fitness Threshold","Odds Ratio","p.value"
"HIV Combined",0,1.79314002516817,0.0391412075736586
"HIV Combined",0.1,0.916336044561256,0.805959139647074
"HIV Combined",0.2,0.835180573386833,0.529709369603273
"HIV Combined",0.3,1.04756142908865,0.898285118118825
"HIV Combined",0.4,1.1822033540772,0.591676154471516
"HIV Combined",0.5,1.12247176690392,0.776215554415072
"HIV Combined",0.6,0.956653845092167,0.882662448642625
"HIV Combined",0.7,1.01294200699781,1
"HIV Combined",0.8,1.02867275407017,1
"HIV Combined",0.9,0.628774619591608,0.435153268308081
"Total",0,0.732674280765834,0.6141477464039
"Total",0.1,0.732674280765834,0.6141477464039
"Total",0.2,0.732674280765834,0.6141477464039
"Total",0.3,0.829107776417128,0.803731173235363
"Total",0.4,1.04858042238653,1
"Total",0.5,1.17415657753759,0.811489722830929
"Total",0.6,1.09889323226682,1
"Total",0.7,1.369681560296,0.633118860133313
"Total",0.8,1.82119523731055,0.224600739651166
"Total",0.9,1.94192603385645,0.347243137988766
"HIV IN",0,1.45532491342275,0.438386373146619
"HIV IN",0.1,1.05607951913031,1
"HIV IN",0.2,1,1
"HIV IN",0.3,1.32016700405125,0.504045902948246
"HIV IN",0.4,1.49433391491608,0.308741231442347
"HIV IN",0.5,1.20106524791119,0.726149907744903
"HIV IN",0.6,1,1
"HIV IN",0.7,1,1
"HIV IN",0.8,1,1
"HIV IN",0.9,0.548814534009688,0.532593967231929
"HIV CA",0,2.22971907372834,0.0507153865369392
"HIV CA",0.1,0.767151864522073,0.541292979585346
"HIV CA",0.2,0.635787549567168,0.29783974605119
"HIV CA",0.3,0.755285645522414,0.662840568947711
"HIV CA",0.4,0.812737425930176,0.805450805287248
"HIV CA",0.5,1.06862783272807,1
"HIV CA",0.6,0.921205652891168,1
"HIV CA",0.7,1.12402080336575,1
"HIV CA",0.8,1.17169497624291,1
"HIV CA",0.9,0.927013603841486,1
"Internal",0,0.803458492220809,0.748348679528034
"Internal",0.1,0.803458492220809,0.748348679528034
"Internal",0.2,0.803458492220809,0.748348679528034
"Internal",0.3,1.00784883689708,1
"Internal",0.4,1.38237652957367,0.755155424803405
"Internal",0.5,1.6929121414666,0.534980409949801
"Internal",0.6,1.39454696752229,0.757008728326124
"Internal",0.7,1.70757936721891,0.534266729291738
"Internal",0.8,3.30826951897525,0.101878173352494
"Internal",0.9,2.16370092684748,0.425751837048156
"Surface",0,0.632287118551874,0.69794343161405
"Surface",0.1,0.632287118551874,0.69794343161405
"Surface",0.2,0.632287118551874,0.69794343161405
"Surface",0.3,0.632287118551874,0.69794343161405
"Surface",0.4,0.720188094352329,0.710851831972424
"Surface",0.5,0.720188094352329,0.710851831972424
"Surface",0.6,0.816580937889759,1
"Surface",0.7,1.04066744892415,1
"Surface",0.8,0.773962845195513,1
"Surface",0.9,1.58057144444098,0.63051409264503
