"Dataset","Rel. Site Pref. Cutoff","Odds Ratio","OR_CI95_lower","p.value"
"HIV ENV",0.05,Inf,5.10064166013053,1.42479387237225e-07
"HIV ENV",0.1,3.58212944222284,2.38617497980565,1.41131689646329e-12
"HIV ENV",0.15,2.29939020322549,1.75783791214702,7.19118341095127e-11
"HIV ENV",0.2,2.27342906100766,1.7985001788226,2.75495127307147e-13
"HIV ENV",0.25,1.77229895816288,1.44141909547383,1.77058409643233e-08
"HIV ENV",0.3,1.57014439136665,1.29346301222995,2.90593411857698e-06
"HIV ENV",0.35,1.44233865670001,1.19724174944417,8.60561894453282e-05
"HIV ENV",0.4,1.3684103969083,1.14017464972028,0.000603671129921888
"HIV ENV",0.45,1.34741707785509,1.1247077870267,0.00102988637698096
"HIV ENV",0.5,1.29728494001714,1.08289270168653,0.00438347439736376
"HIV ENV",0.55,1.31200244556147,1.09265023448941,0.00321859993227078
"HIV ENV",0.6,1.25755874780111,1.04217437129575,0.0156891573955983
"HIV ENV",0.65,1.33424853475398,1.09764629847822,0.00343701717982788
"HIV ENV",0.7,1.24291995787624,1.01294836068905,0.0338087588617675
"HIV ENV",0.75,1.14368815086382,0.916920955062523,0.222998007281938
"HIV ENV",0.8,0.99162462431629,0.769650532028443,1
"HIV ENV",0.85,0.992216851218557,0.741971783340421,1
"HIV ENV",0.9,1.00192026739686,0.710729936886393,1
"HIV ENV",0.95,0.731064627714681,0.41799012540704,0.234808229841141
"NP (H3N2)",0.05,1.20671208093882,0.99092823275112,0.0592819700136581
"NP (H3N2)",0.1,1.17438843162638,0.994593544149379,0.0561104958120197
"NP (H3N2)",0.15,1.13935376824907,0.958963571698617,0.13057146132087
"NP (H3N2)",0.2,1.18306434871858,0.983486361303504,0.0698240963319141
"NP (H3N2)",0.25,1.24062926646704,1.017324504656,0.0309348485848143
"NP (H3N2)",0.3,1.22468155631512,0.988982410151084,0.0588496989040402
"NP (H3N2)",0.35,1.08449601764168,0.857463237746041,0.483942544366333
"NP (H3N2)",0.4,1.08518950151178,0.83863207023383,0.523406489408439
"NP (H3N2)",0.45,1.05044175483984,0.796703404766486,0.733995594504099
"NP (H3N2)",0.5,1.01225041257454,0.747387156987755,0.94119944113847
"NP (H3N2)",0.55,1.1041688058694,0.798390382940474,0.524345772883233
