"Dataset","Class","Rel. Site Pref. Cutoff","Odds Ratio","OR_CI95_lower","p.value"
"HIV ENV","Charge",0.05,Inf,3.89486665580588,5.56378316223081e-06
"HIV ENV","Charge",0.1,4.64617150348511,2.77415735086797,4.15441090401681e-12
"HIV ENV","Charge",0.15,3.34823467673473,2.36078410050737,2.94434798199585e-14
"HIV ENV","Charge",0.2,2.81003422734467,2.09888006448556,4.8814784086039e-14
"HIV ENV","Charge",0.25,2.12753302377937,1.65083086226366,9.26519935780804e-10
"HIV ENV","Charge",0.3,1.84355544182717,1.45459168874797,1.66553972062594e-07
"HIV ENV","Charge",0.35,1.56935775833326,1.2519575743699,6.02112814483366e-05
"HIV ENV","Charge",0.4,1.4633725835947,1.17366865426812,0.000517183329759413
"HIV ENV","Charge",0.45,1.39069518739687,1.11785378615982,0.0024516853597426
"HIV ENV","Charge",0.5,1.33616611867561,1.07392650851138,0.00770058970745516
"HIV ENV","Charge",0.55,1.36241092342274,1.09212106461396,0.00561300873178801
"HIV ENV","Charge",0.6,1.24683585967111,0.993367248718643,0.0530851736339864
"HIV ENV","Charge",0.65,1.38968174433567,1.09902510563027,0.00532758149189556
"HIV ENV","Charge",0.7,1.35468548544082,1.06078926568766,0.0133951694416154
"HIV ENV","Charge",0.75,1.2699377739033,0.977104529205622,0.0649792962752972
"HIV ENV","Charge",0.8,1.12572165711187,0.835206513678868,0.417068425063744
"HIV ENV","Charge",0.85,1.12556920297433,0.797200685323275,0.497527937124576
"HIV ENV","Charge",0.9,1.18617737042276,0.785952686020167,0.418519839551903
"HIV ENV","Charge",0.95,0.921686361499155,0.477814613824307,0.88310542415156
"NP (H3N2)","Charge",0.05,1.05556011307035,0.806891972988335,0.739860846581457
"NP (H3N2)","Charge",0.1,1.14977272899688,0.928366014731734,0.202893751463242
"NP (H3N2)","Charge",0.15,1.11707350083218,0.90177324746992,0.311558646878248
"NP (H3N2)","Charge",0.2,1.14150054073709,0.911409176709057,0.239429543169809
"NP (H3N2)","Charge",0.25,1.20290132578165,0.948135163124137,0.122374634114847
"NP (H3N2)","Charge",0.3,1.27618894965225,0.990767846722828,0.0569536185747641
"NP (H3N2)","Charge",0.35,1.13493066316508,0.860571917345078,0.372462550154907
"NP (H3N2)","Charge",0.4,1.10218195217175,0.811995384173849,0.547065153614681
"NP (H3N2)","Charge",0.45,1.17294701492261,0.84825885883549,0.336122263944304
"NP (H3N2)","Charge",0.5,1.14865097675817,0.800486924776579,0.426083505163837
"NP (H3N2)","Charge",0.55,1.40736284231033,0.953712396793749,0.0801064428080515
"NP (H3N2)","Charge",0.6,1.40732361484942,0.910771932690791,0.105799844431296
"NP (H3N2)","Charge",0.65,1.2427686193607,0.751992929449428,0.392766023385178
"NP (H3N2)","Charge",0.7,1.3110600711256,0.760675991643968,0.292162037500712
"NP (H3N2)","Charge",0.75,1.41797173287538,0.742998368191085,0.273897087669297
"NP (H3N2)","Charge",0.8,1.15546526563679,0.507440219038797,0.707140575754267
"NP (H3N2)","Charge",0.85,1.37397947452809,0.507899565663724,0.495470499315143
"NP (H3N2)","Charge",0.9,1.42388607459235,0.448030065395652,0.600154100365484
"NP (H3N2)","Charge",0.95,0.780795270526699,0.129804592921031,1
"NP (H1N1)","Charge",0.05,1.51881683358616,1.12787916879901,0.00487177867540777
"NP (H1N1)","Charge",0.1,1.07366761820081,0.87041836422269,0.49821104218144
"NP (H1N1)","Charge",0.15,1.04916465700598,0.847334073208411,0.671117662803128
"NP (H1N1)","Charge",0.2,1.00862486026872,0.803793137446426,0.955223816335088
"NP (H1N1)","Charge",0.25,0.981173767360653,0.766671703329568,0.903479143749388
"NP (H1N1)","Charge",0.3,1.05315566184721,0.806254448170891,0.69309824441502
"NP (H1N1)","Charge",0.35,1.0613313503179,0.795499336592291,0.671019330693417
"NP (H1N1)","Charge",0.4,1.14094535122828,0.829145290442443,0.430851238230571
"NP (H1N1)","Charge",0.45,1.15278799894128,0.813882196219282,0.393259266216007
"NP (H1N1)","Charge",0.5,1.07340545452732,0.728580874260367,0.707446776087941
"NP (H1N1)","Charge",0.55,1.26124149331543,0.829994344288748,0.258009566518753
"NP (H1N1)","Charge",0.6,1.36173325534267,0.873478032707119,0.154293920853279
"NP (H1N1)","Charge",0.65,1.52538351881874,0.933309720650918,0.0874753735108651
"NP (H1N1)","Charge",0.7,1.62067748020374,0.954890463465143,0.0657719222615807
"NP (H1N1)","Charge",0.75,1.75993772033818,0.976146680795411,0.0570942016052314
"NP (H1N1)","Charge",0.8,1.72027422035053,0.843790976065471,0.118077423281314
"NP (H1N1)","Charge",0.85,1.96296499445663,0.819620718850467,0.0958413745431839
"NP (H1N1)","Charge",0.9,2.32429385888564,0.765677558617546,0.114251945132515
"NP (H1N1)","Charge",0.95,1.43682253871366,0.283957458009418,0.729445801391793
"HA (H1N1)","Charge",0.05,1.93946274334524,1.47622755938139,6.54593979696957e-07
"HA (H1N1)","Charge",0.1,1.27430678395125,1.04030737098909,0.0184070526775724
"HA (H1N1)","Charge",0.15,1.12875879634708,0.925259220595518,0.234642044935852
"HA (H1N1)","Charge",0.2,1.22412108781738,1.00046518604742,0.0439600549230876
"HA (H1N1)","Charge",0.25,1.26972416386136,1.03229880744616,0.0223401921712801
"HA (H1N1)","Charge",0.3,1.27006142148816,1.02454875240203,0.0269067634059794
"HA (H1N1)","Charge",0.35,1.38184194418458,1.10520848515243,0.0039560718741718
"HA (H1N1)","Charge",0.4,1.43860163103483,1.1377520112074,0.00195497521777603
"HA (H1N1)","Charge",0.45,1.508598661033,1.17458815506898,0.00112599531113012
