"Dataset","Class","Rel. Site Pref. Cutoff","Odds Ratio","p.value"
"HIV ENV","Charge",0.05,0.831279599558134,0.651490285405601
"HIV ENV","Charge",0.1,0.870030076666827,0.337757138129631
"HIV ENV","Charge",0.15,0.911498275180243,0.417522280614371
"HIV ENV","Charge",0.2,0.952115029654548,0.627136605701235
"HIV ENV","Charge",0.25,0.929497831952507,0.43722003981375
"HIV ENV","Charge",0.3,0.96086073471353,0.659527952050768
"HIV ENV","Charge",0.35,0.99105904296295,0.931389197354492
"HIV ENV","Charge",0.4,0.924272778683287,0.371190024534881
"HIV ENV","Charge",0.45,0.940552729326507,0.471143811929389
"HIV ENV","Charge",0.5,0.992904976429495,0.965961555080953
"HIV ENV","Charge",0.55,1.01692653900427,0.862115540139154
"HIV ENV","Charge",0.6,1.03919854603587,0.687481538179212
"HIV ENV","Charge",0.65,1.10506969008572,0.303482379246965
"HIV ENV","Charge",0.7,1.10936361153408,0.304913447258163
"HIV ENV","Charge",0.75,1.12253439063516,0.295410467744764
"HIV ENV","Charge",0.8,1.08646825551199,0.519970725862654
"HIV ENV","Charge",0.85,1.00686987190996,1
"HIV ENV","Charge",0.9,0.898341166362503,0.483345208334623
"HIV ENV","Charge",0.95,0.856336432282199,0.499341804738543
"HIV ENV","Polarity",0.05,2.30158920267782,0.00539915795381914
"HIV ENV","Polarity",0.1,2.37481868313735,4.73048113213395e-11
"HIV ENV","Polarity",0.15,1.98807873173246,3.47155682682309e-11
"HIV ENV","Polarity",0.2,1.93136139168079,1.52701356586139e-12
"HIV ENV","Polarity",0.25,1.83644447045887,3.71044792426502e-12
"HIV ENV","Polarity",0.3,1.86213818154298,2.17585157359796e-13
"HIV ENV","Polarity",0.35,1.89128018057807,1.79122694696523e-14
"HIV ENV","Polarity",0.4,1.77053791418345,3.45668176677965e-12
"HIV ENV","Polarity",0.45,1.71393597967541,5.22782763387207e-11
"HIV ENV","Polarity",0.5,1.64957174889039,1.65045159001519e-09
"HIV ENV","Polarity",0.55,1.60996064490849,1.7575793700037e-08
