"Dataset","Rel. Fitness Threshold","AUC","p.value"
"HIV Combined",1,0.522397891963109,0.256688355546967
"HIV Combined",0.9,0.537939229332881,0.14035833247542
"HIV Combined",0.8,0.528623471246422,0.215512168850867
"HIV Combined",0.7,0.53168044077135,0.19625679049215
"HIV Combined",0.6,0.541660079051383,0.136550326969221
"HIV Combined",0.5,0.526163778457356,0.249251980162375
"HIV Combined",0.4,0.519227108319056,0.313979225259161
"HIV Combined",0.3,0.538252848616386,0.174055241958992
"HIV Combined",0.2,0.581068416119963,0.0251774760043409
"HIV Combined",0.1,0.576719576719577,0.0353442220306548
"Total",1,0.529589371980676,0.333699582047898
"Total",0.9,0.46480231436837,0.678739696851017
"Total",0.8,0.369791666666667,0.935119040769479
"Total",0.7,0.366216216216216,0.941907260667226
"Total",0.6,0.410606060606061,0.869650896067497
"Total",0.5,0.370967741935484,0.954692161330839
"Total",0.4,0.396551724137931,0.931541542145861
"Total",0.3,0.46,0.818361368988774
"Total",0.2,0.5,1
"Total",0.1,0.5,1
"HIV IN",1,0.51960968286733,0.340948461135713
"HIV IN",0.9,0.547430830039526,0.169297824412874
"HIV IN",0.8,0.532383767804354,0.267025624156659
"HIV IN",0.7,0.53678054786088,0.24687331717098
"HIV IN",0.6,0.54585798816568,0.206496466005858
"HIV IN",0.5,0.518297872340426,0.376666108257294
"HIV IN",0.4,0.46900406504065,0.699280731494791
"HIV IN",0.3,0.485431235431235,0.595573389735183
"HIV IN",0.2,0.547666009204471,0.22530887712447
"HIV IN",0.1,0.547058823529412,0.237505911124363
"HIV CA",1,0.536483516483516,0.230475677076008
"HIV CA",0.9,0.539449112978525,0.21590402378149
"HIV CA",0.8,0.5359394703657,0.24098205150857
"HIV CA",0.7,0.5375,0.233209196225932
"HIV CA",0.6,0.548713738368911,0.174663085508733
"HIV CA",0.5,0.541434927697442,0.213929242248029
"HIV CA",0.4,0.563636363636364,0.115168471614716
"HIV CA",0.3,0.584854631507776,0.0599257445256154
"HIV CA",0.2,0.608726249120338,0.0241451760462668
"HIV CA",0.1,0.594752186588921,0.043742836333929
"Internal",1,0.582417582417582,0.18059858333417
"Internal",0.9,0.51969696969697,0.429326486455212
"Internal",0.8,0.291666666666667,0.956775756766663
"Internal",0.7,0.371212121212121,0.866926809389747
"Internal",0.6,0.408333333333333,0.795146865460401
"Internal",0.5,0.315789473684211,0.944464695780195
"Internal",0.4,0.352941176470588,0.917275090808172
"Internal",0.3,0.428571428571429,0.830247761734013
"Internal",0.2,0.5,1
"Internal",0.1,0.5,1
"Surface",1,0.457912457912458,0.658360736132584
"Surface",0.9,0.397959183673469,0.810872151671435
"Surface",0.8,0.458333333333333,0.645203178244711
"Surface",0.7,0.366666666666667,0.883305392817136
"Surface",0.6,0.423076923076923,0.818505271227359
"Surface",0.5,0.458333333333333,0.764756788970605
"Surface",0.4,0.458333333333333,0.764756788970605
"Surface",0.3,0.5,1
"Surface",0.2,0.5,1
"Surface",0.1,0.5,1
